fast runs
PF geneva
Daily PF:  2025-01-01 → 2025-12-31  (364 days,  20 perturbed members)
Depth weights: {0: 0.38, -1.0: 0.88, -2.0: 1.5, -4.0: 2.0, -6.0: 2.0, -8.0: 2.0, -10.0: 2.0, -12.0: 2.0, -14.0: 2.0, -16.0: 2.0, -18.0: 2.5, -21.0: 3.0, -24.0: 3.0, -27.0: 3.0, -30.0: 4.0, -35.0: 5.0, -40.0: 5.0, -45.0: 5.0, -50.0: 2.5}

Started 21 persistent containers.

  2025-03-16  best=ensemble04  RMSE=0.3478 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.1s  score=1.2s  total=20.3s]
  2025-03-17  best=ensemble02  RMSE=0.2900 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-03-18  best=ensemble13  RMSE=0.2168 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-03-19  best=ensemble12  RMSE=0.2046 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-20  best=ensemble17  RMSE=0.2711 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.2s  total=20.3s]
  2025-03-21  best=ensemble06  RMSE=0.3378 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-22  best=ensemble08  RMSE=0.3893 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-03-23  best=ensemble19  RMSE=0.3384 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.2s  total=20.3s]
  2025-03-24  best=ensemble06  RMSE=0.3694 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-03-25  best=ensemble14  RMSE=0.4215 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.1s  score=1.1s  total=20.2s]
  2025-03-26  best=ensemble12  RMSE=0.3212 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-27  best=ensemble13  RMSE=0.1980 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-28  best=ensemble17  RMSE=0.2749 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-29  best=ensemble17  RMSE=0.2927 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-30  best=ensemble13  RMSE=0.3629 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-03-31  best=ensemble05  RMSE=0.5321 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-04-01  best=ensemble09  RMSE=0.4037 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-04-02  best=ensemble06  RMSE=0.5959 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.3s  score=1.1s  total=20.4s]
  2025-04-03  best=ensemble04  RMSE=0.6232 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-04-04  best=ensemble05  RMSE=0.5706 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.1s  score=1.1s  total=20.2s]
  2025-04-05  best=ensemble08  RMSE=0.6863 °C  obs_raw=456  matched=418  [ok]  [docker=17.6s  accum=0.0s  mean=2.3s  score=1.1s  total=21.0s]
  2025-04-06  best=ensemble18  RMSE=0.6031 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.1s  score=1.1s  total=20.2s]
  2025-04-07  best=ensemble03  RMSE=0.3816 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-08  best=ensemble20  RMSE=0.3694 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-04-09  best=ensemble16  RMSE=0.2521 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-04-10  best=ensemble07  RMSE=0.3366 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-11  best=ensemble03  RMSE=0.5350 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-12  best=ensemble13  RMSE=0.8017 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-04-13  best=ensemble16  RMSE=0.7452 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-14  best=ensemble20  RMSE=0.7436 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-04-15  best=ensemble03  RMSE=0.6606 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-04-16  best=ensemble10  RMSE=0.6389 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-04-17  best=ensemble05  RMSE=0.6514 °C  obs_raw=456  matched=418  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
